address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
13icgzjVApXuQ1x481rzSd5U2CwpwLNg3jWSukQj4bv8T3F2,370,6584.7104400301,6584.7104400301,0,0,5,1,1,0,1,1,1,0,0
13YSFKDVZz6ywvf1VELbgR5M9SM3KxvxsWF5b3KMqekssGrv,370,8565.7199586923,8565.7199586923,0,0,5,1,1,0,1,1,1,0,0
13Z1FJvNwQiqESrj2iE6DVvrfkeCpsuUJ6ZyWoAE2Nqu4hKr,370,8481.0594205405,8481.0594205405,0,0,5,1,1,0,1,1,1,0,0
13dXj84s9vp9HbaNYZp4G6TMsgwvZeiNXjskNiA5RAXcJPTk,370,46742.1078367797,46742.1078367797,0,0,5,1,1,0,1,1,1,0,0
157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,370,41429.9217411941,41429.9217411941,0,0,5,1,1,0,1,1,1,0,0
15cumpTeo7BnQAwMNpgdRSW3KRfVBL72aifCSjF7cQYY3ri6,343,5651.5151711868,7.5240695052,5643.9911016816,0,4,1,1,0,0,0,1,1,0
12Z66EzFu4gaadEu4mouD9uG7qmYLg7xTycZRftcTNbZLmDq,342,7328.4413326656,7328.4413326656,0,0,4,1,1,0,1,0,1,0,0
155G4q3yS7gW933PrdxrY4ersg2YhqWUnGC8GUd7NWiZwuKj,342,20010.1365992614,20010.1365992614,0,0,4,1,1,0,1,0,1,0,0
155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,342,41142.8155760935,41142.8155760935,0,0,4,1,1,0,1,0,1,0,0
14uGoX71A2EPEjATqdtR1YktRD65Ap4qpBJc8Jfeozgrxydc,342,5832.5322307593,5832.5322307593,0,0,4,1,1,0,1,0,1,0,0
14zRXReXkKsoM253AVTBkYtV5CcE95wLNwN5ydy9BXQZA6H3,333,5798.6535475565,51.6121388484,4625.0414087081,1122,5,1,0,0,1,0,1,1,1
15JySZDN4avTv4qRMZRfwBxp71rg1s3yeRKhqmRp1z8fVSzD,333,10231.7874023228,9331.7874023228,0,900,5,1,0,0,1,0,1,1,1
